Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2023 Mar,4460,171507,97835,9122,50591,43145,31347,60888,23465,19204,36302,35396,9711,75339,1060,4088,1414,1639,205,880,6795,12626,54157,2215,2679,2131,12924,34976,4643,6956,2342,1992,6635,3936,2786,5940,50330,74268,6871,168,474,1995,45603
  2023 Feb,4739,156448,88040,7734,47446,37156,27896,35312,20227,25037,32932,64876,8006,61301,1584,3829,175,1510,359,688,4971,13407,52830,2079,3216,2312,13722,31063,4861,7053,2439,1868,7009,3302,2967,6310,45785,72385,6821,205,274,1698,45972
  2023 Jan,3653,168975,72756,8982,38484,29735,31824,28375,26208,31444,18335,60457,8789,56605,1452,3083,156,1342,672,532,4074,11207,50492,1707,2674,2247,9873,26678,4082,6430,1891,1767,6637,3229,3234,5034,38123,102888,10766,192,418,2229,44083
  2022 Dec,7324,197261,95475,10523,56509,36006,27661,19685,26605,12603,20209,31817,9857,74067,1623,4270,126,916,476,689,6135,9047,53688,1458,1769,1391,8554,20499,2777,5634,1610,1359,3503,2604,2510,4468,33051,89159,9139,220,643,3371,35150
  2022 Nov,4273,144444,72305,9070,54793,34566,30175,16024,19670,12592,22698,31627,10481,73694,1643,3896,232,1403,229,1085,4888,9638,45666,1965,2014,1810,10546,18279,3775,5853,1728,1567,2408,3939,2091,5151,33269,69046,7289,283,663,1591,37981
  2022 Oct,3733,133408,77092,9078,56747,52274,36242,14971,16052,10543,17459,28294,10975,81796,1492,4707,232,2186,222,738,4671,7217,36734,1730,2340,1759,10665,18184,3697,6523,1771,1530,1312,3987,1913,5491,30244,73728,8742,259,226,1565,34304
  2022 Sep,3809,120169,81914,8341,44856,32426,41129,14127,13659,7918,19317,26520,10694,86393,1199,4430,184,1990,468,813,4980,6594,34503,2190,2070,1122,10200,17810,4994,6814,1311,1592,756,4841,1429,4225,29963,83070,8796,255,210,1949,32185
  2022 Aug,3426,108252,63905,8594,42542,33284,48939,14735,10669,7420,19153,31174,10828,76249,1458,3901,122,1199,1053,1190,5974,6116,34497,2256,1608,628,16618,16917,9544,8174,1432,1482,484,6867,1075,4335,27611,56917,7107,197,198,1233,29381
  2022 Jul,3239,119086,61575,10398,45338,36615,48870,16622,11343,6104,12266,28570,13119,75130,1405,3058,135,1145,747,1417,6322,5268,39120,2206,2634,894,10598,12345,3366,7135,2067,1483,452,3331,1394,4747,22493,68378,7264,164,196,1281,27419
  2022 Jun,2202,110094,49878,9095,32139,23406,36857,10191,9220,3302,8386,16724,7352,64337,999,2709,169,753,281,558,3012,3651,30990,885,1098,710,5501,8868,1656,3165,1079,869,308,1603,942,2169,14906,50412,3909,132,110,938,18168
  2022 May,2271,86745,43214,6218,22379,18487,21570,7150,8115,1961,6321,10614,6352,59198,448,2759,127,930,115,333,3047,3604,19764,765,898,588,5068,7034,1372,3362,745,625,218,1291,720,2154,12737,31406,3061,62,95,599,13936
  2022 Apr,807,58330,25319,5474,16940,10647,16657,5048,7244,1052,4343,5578,7595,41079,147,2928,21,703,52,201,2539,2004,12001,564,1004,448,3744,5378,933,2391,617,381,181,1137,635,1885,10811,27380,1448,34,53,384,8978
  2022 Mar,280,13622,10610,3516,6250,3038,2932,4131,3774,597,869,2686,7480,27531,54,1529,12,321,4,79,1084,871,5448,214,438,181,1759,2434,450,940,168,105,78,391,337,718,5498,7883,161,19,5,49,2661
  2022 Feb,163,6872,4468,2024,2026,1622,1055,3823,1794,531,534,1972,3361,15567,28,885,4,298,4,29,203,545,3775,70,340,129,1760,1645,346,713,69,49,49,228,237,576,3797,4546,79,7,6,23,1513
  2022 Jan,113,5885,5203,2954,1469,1060,627,4361,901,430,552,1953,4893,11428,68,444,3,94,2,37,110,469,2264,61,194,121,1077,1193,212,474,95,44,50,238,214,372,2362,3759,87,12,7,39,1243
  2021 Dec,231,11177,10939,2991,1966,1421,840,4764,754,392,580,2187,5559,27672,59,587,11,99,1,46,141,743,3720,68,244,157,1195,1594,319,717,56,53,42,213,211,515,3668,5525,63,14,9,12,1241
  2021 Nov,138,5756,2537,1242,2450,361,407,3479,527,279,430,1600,4170,7488,36,150,5,131,16,39,152,229,1890,51,190,19,799,1074,239,432,49,13,37,199,42,238,2117,1624,25,19,2,23,475
  2021 Oct,121,1954,2104,312,1042,623,264,6065,494,378,779,485,1079,2936,6,19,10,107,4,27,127,121,840,22,74,23,423,997,98,208,54,44,44,95,53,78,965,263,58,10,3,33,564
  2021 Sep,70,669,797,159,655,290,104,8952,669,442,780,519,385,678,6,15,6,33,5,17,82,139,652,33,37,19,337,769,69,117,56,39,28,44,31,68,391,278,75,7,1,16,470
  2021 Aug,81,315,683,87,392,264,89,8907,602,456,341,373,2,95,4,6,2,60,7,32,78,72,828,40,33,16,327,139,54,54,39,31,32,38,41,108,367,301,50,12,5,5,419
  2021 Jul,104,156,554,247,438,334,116,12669,750,79,297,202,1,332,2,2,0,65,0,6,42,53,685,23,7,11,97,151,33,34,12,21,13,24,24,43,291,289,73,0,0,17,220
  2021 Jun,64,519,402,175,262,99,36,6983,361,29,121,98,3,12,0,2,0,30,0,1,22,14,206,6,3,6,26,42,8,18,2,4,5,7,2,12,100,193,58,1,0,6,91
