Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2016 Oct,4022,213070,92736,8218,57924,58094,32192,173185,31512,26270,62858,34346,10078,94649,1901,7825,1718,2232,372,598,4527,7170,40277,2565,2795,2725,14543,27153,5336,6602,2286,1693,6006,4166,3422,10464,43841,85395,10961,370,1013,2809,37756
  2016 Sep,5551,186610,93519,7102,45804,36911,32777,170204,30252,30267,68997,37742,10081,75074,1893,7745,2534,1639,1399,1750,7531,5257,33262,2282,1891,1688,11176,22567,5731,6078,1651,1425,4503,4377,2076,7003,36529,92210,11514,448,688,2430,33895
  2016 Aug,4665,210626,81655,8012,50362,39434,46773,315548,70842,42274,93619,62018,9694,80977,2494,11142,1901,1556,2224,2074,9881,6896,38116,3147,1940,1114,23795,25895,16139,9452,1668,1443,5002,8652,1908,8475,43301,78888,11873,462,882,2282,42775
  2016 Jul,6409,319759,100397,9937,55005,49788,59800,311124,69847,46691,64715,54700,12303,87919,3823,7919,1529,1446,1946,2278,11168,7547,47089,3310,3506,1586,16844,19327,6093,9454,3166,2006,4349,4973,2991,10602,37272,103689,14548,340,823,2806,41581
  2016 Jun,5061,235444,91901,9731,56702,36982,52449,221614,42330,36718,54993,43766,8949,112026,1196,5764,972,1007,259,501,4478,5360,46155,1586,1515,1434,8954,13776,4272,4510,1887,1579,3486,2541,1963,4779,24413,77805,10862,197,579,1832,28203
  2016 May,5768,258606,92668,9470,76646,52331,40046,234089,39959,28809,55006,44932,10700,141986,1824,7434,1198,1371,549,1049,5670,7211,38422,1848,1618,1490,11789,17868,4300,6273,1849,1349,4411,2973,2063,6626,27667,64175,9715,424,621,2202,32538
  2016 Apr,5466,215353,97070,14495,74245,62514,38398,269560,42712,33107,49613,41356,10303,94578,1439,12708,819,1270,404,789,6712,7598,39355,2411,2273,1889,16628,21371,5783,6362,2267,1406,4961,3156,3165,9192,45552,93320,10042,410,1196,3055,39669
  2016 Mar,7100,238160,98135,10517,58963,48381,33122,241230,58341,27401,79146,40959,10845,78859,1409,6699,6275,1582,674,1332,8349,10517,46658,2760,3441,3186,14259,40603,4825,6646,4125,1823,6744,4382,5278,8782,54800,78701,6616,283,892,2966,40841
  2016 Feb,4768,216284,85850,7090,47217,38650,35731,277926,49837,42569,65604,57595,8445,64702,1250,6577,1516,1655,470,797,4470,10558,42751,2503,3988,3959,16417,37455,4883,6753,2749,1418,6412,3159,5075,9181,48378,61900,5463,416,425,1696,40555
  2016 Jan,5596,249876,87208,7703,44334,44330,29145,229150,34742,37087,62275,74180,11151,81363,1563,6624,1156,1707,1682,1420,5048,11209,48852,2289,3833,4431,12144,39133,6186,7135,2992,1916,9504,3432,6852,9072,48413,117073,10983,387,841,3359,44747
  2015 Dec,12379,311475,130551,9680,68114,45441,30159,168831,45853,22303,66719,44821,11554,87950,1764,9960,1397,1196,878,903,8192,9952,45546,2329,2324,3231,11443,35172,4800,6154,2514,1467,5807,3064,5423,8400,39757,101624,9726,298,1549,4866,39412
  2015 Nov,6191,200687,106214,7625,60583,38576,29284,158736,37241,24062,67840,44988,9272,88350,1446,7432,1048,1421,327,797,5450,8581,41457,2271,2656,2761,12269,27994,5317,6627,2615,1480,5518,4464,4078,9481,42034,76369,9070,325,1087,2347,37621
  2015 Oct,4825,204574,88338,8762,58357,63693,30686,165649,41272,27525,66416,50582,10394,86649,1857,8083,943,1456,550,893,4984,7858,39683,2336,2590,2569,13334,24718,5042,6557,2675,1386,4900,4046,3753,9188,40871,96340,11462,532,474,2981,37164
  2015 Sep,5761,187629,93334,7461,48209,39567,28282,149929,40315,27836,73972,39063,10159,69846,1383,7477,1473,1356,1024,1845,6781,5196,32749,2155,1974,1451,9816,22303,5291,5761,2068,1335,3725,4330,2102,6938,37374,97071,12412,444,411,2642,31726
  2015 Aug,4585,205671,88834,8000,52997,39579,39519,267122,89436,45292,92793,60468,10353,77137,2250,8965,889,1323,2395,1932,10164,6734,39090,2905,2161,1222,22241,26784,15817,8040,1978,1631,4618,8377,1946,8253,41077,83063,12497,574,694,2183,43473
  2015 Jul,7237,305600,102347,8757,49724,45729,54711,246819,82817,50278,67682,48375,11793,83806,2281,6782,665,1266,1631,2177,10044,6984,45139,3225,3786,1308,16926,18815,5402,9364,3874,1576,4071,4875,2911,10657,36643,97583,14756,296,601,2752,37168
  2015 Jun,4992,238403,100074,9326,53329,40121,45490,144533,45453,30565,53257,37193,9737,101773,1947,5832,646,1087,538,735,5101,5914,44929,1599,1635,1551,8969,13660,3915,4553,2260,1369,3644,2717,2091,5203,25543,82755,11593,226,600,2048,27841
  2015 May,5378,238688,100340,9162,72159,45674,35974,141375,45742,25498,52971,43883,10447,130511,1291,7652,488,1188,463,711,5278,6637,37117,1765,1642,1373,11686,16266,3923,5797,1497,1224,4523,2953,1985,6699,28125,73965,10077,355,513,2351,27490
  2015 Apr,4977,207138,90515,12969,72259,47838,36472,153784,58959,29229,46687,41602,9809,84041,1125,11103,548,1264,476,873,6628,7086,36186,2369,2301,2198,13135,20086,4870,5989,2652,1434,4371,3094,3138,9308,39822,83497,9492,348,858,2885,35209
  2015 Mar,6989,211347,101929,9681,53649,43504,30907,130827,41803,24694,79941,42872,10186,70302,1234,7640,2937,1414,546,1777,7588,10515,48341,2594,3246,3110,12789,31468,5311,7127,3535,1617,5154,3715,4284,8777,50741,70708,7854,419,567,2541,35468
  2015 Feb,4759,184183,82408,6204,41155,29889,28150,238011,46985,40059,62422,51415,7960,60016,870,5987,632,1347,519,948,3871,9915,42427,1968,3634,3390,13590,24937,4192,6678,3123,1277,4861,2893,4556,8475,47051,65009,6349,268,557,1619,34259
  2015 Jan,5521,236295,86193,7825,42839,36798,28632,140548,34012,30685,58479,71820,10923,73605,1500,6139,601,1425,1420,2500,4612,10875,46845,2063,3440,3740,11285,24529,5470,6405,2859,1551,12650,3546,6295,9470,44923,115584,12330,453,828,3255,41840
  2014 Dec,11998,315395,143276,9859,64526,39035,31185,124615,45669,18577,71920,40918,11631,82520,1505,8608,934,1120,781,1292,7868,9234,43188,2321,2485,3210,10708,24156,5124,6222,2758,1198,8004,3348,5363,8630,38438,97855,10015,457,1420,4842,38333
  2014 Nov,5806,219369,106313,7973,53508,35138,29938,131731,39019,21240,69415,40230,10027,71555,1242,7603,758,1602,404,1660,4754,7662,39705,2546,2372,3054,11762,21514,5559,6447,2689,1363,7246,3757,3498,8983,37919,73262,7435,397,1024,2310,34441
  2014 Oct,5440,226630,97184,8958,58572,53916,30552,133993,40146,24197,68609,44810,10722,88855,1161,6987,756,1441,896,2349,6704,6696,36306,2029,2754,2522,12351,21905,4389,6051,2328,1353,6507,3488,3331,9515,36986,87565,9146,406,475,1853,32693
  2014 Sep,5601,206593,99339,8294,47246,35122,28960,105780,39931,25373,74408,39276,9486,65751,1115,7536,1254,1134,532,2311,5012,5022,33053,2233,2199,1759,10323,22156,5164,6027,2132,1281,5384,4153,2034,7645,35981,97642,10593,399,475,2354,30563
  2014 Aug,5079,234710,93222,8903,51074,40849,41775,174150,87173,38422,95248,56623,11690,69960,1951,9649,892,1166,2784,5290,11862,6641,38067,2946,2052,1108,20541,24544,13280,8541,2040,1429,6129,7295,1841,8837,38360,82448,10939,448,655,2037,40285
  2014 Jul,6305,296880,101461,9345,49506,43785,55951,180653,80808,44229,69419,46666,10108,72724,1374,5711,844,1065,1208,1760,8544,7052,43508,2987,3293,1266,14405,17014,5153,8089,3328,1734,5280,4047,2716,10503,32056,106641,14075,214,708,2448,33537
  2014 Jun,7393,278181,108945,9530,56224,39083,48999,91485,47182,25807,56044,37589,11100,94738,2799,6369,685,1193,769,2205,5676,5516,41609,1654,1653,1532,9288,13270,3674,4962,2093,1357,4874,2515,2160,5454,25135,81558,10922,307,525,1800,27568
  2014 May,6254,267714,100648,9538,76976,46683,36630,95987,47859,26699,54173,41946,9853,118953,1357,6994,443,1075,390,1556,4609,6803,35355,1792,1624,1495,11980,15425,3712,5888,1854,1113,5746,2657,2417,6710,27667,78280,10812,322,390,1912,28241
  2014 Apr,4741,230236,94982,15255,73558,56136,30234,126507,69675,25865,50751,36247,9817,79536,1225,11131,577,1273,448,1379,6512,6861,36594,2664,2649,2305,13643,22125,4684,6517,3938,1278,6996,3394,3676,10025,43708,99811,9520,333,748,3364,34389
  2014 Mar,7545,246308,107002,9789,57050,46338,31060,165642,43218,22115,85946,40995,10721,70488,1570,5772,3433,1320,587,2037,6286,10905,49729,2821,3234,3449,15735,30806,5940,7969,3397,1464,9563,3444,4821,8829,49474,74578,6872,328,478,2280,36213
  2014 Feb,5076,219036,91181,7513,44539,35161,33053,203600,48440,32874,69230,51930,9343,62999,1117,6006,896,1556,1471,1322,4072,10118,44052,2482,3860,4580,14180,25422,4944,7458,3516,1325,9154,3022,5289,8994,43998,69119,6893,351,481,1729,36857
  2014 Jan,6418,284126,89482,7807,43702,35263,26071,188237,41909,32033,59578,59745,10428,65557,1259,6440,898,1325,766,2617,3843,10317,43746,2220,3717,4427,11966,25176,5429,7640,3435,1514,15770,3095,6910,9319,42345,126119,11466,399,646,2829,39853
  2013 Dec,13399,321257,142131,9892,64044,42796,28896,121232,44788,19212,70932,35986,10783,83161,1628,11380,1090,1167,902,1219,7039,9537,41785,2325,2396,3638,11697,22142,4874,6000,2786,1347,9435,3050,6052,8900,38994,106584,10383,323,1332,5395,35495
  2013 Nov,7346,238233,129955,7531,55195,34685,27353,119618,38801,22197,72603,40388,9899,74389,1309,6408,732,1175,371,1007,4674,8000,39620,2390,2345,3280,11359,21213,5140,6568,3121,1232,8376,3338,3593,8549,39370,78324,8430,293,1150,1873,32569
  2013 Oct,5879,246115,98097,8934,61360,58887,29011,117955,37570,23246,68034,40157,9843,72429,1675,6932,883,1254,1108,2588,7356,7158,37555,2219,2877,2249,12384,21759,4550,6732,2765,1598,6748,3257,3491,9054,36491,96454,10359,418,559,2113,33643
  2013 Sep,4824,218751,98973,7190,47879,36254,28276,179130,33514,27180,73786,35599,9589,64556,1419,7144,1431,1330,850,1089,5089,4937,33741,2051,1964,1558,10508,21012,5029,6272,2250,1298,4726,3636,1952,7402,36541,105179,11081,316,428,2934,27474
  2013 Aug,6109,328174,116392,7020,51817,36548,34980,242256,61337,40571,92179,45986,10463,66274,1956,10237,961,1270,2943,3606,10701,7008,39079,2838,1995,1092,21876,22265,13117,8568,2273,1562,5184,6584,2049,7638,39533,79221,10765,371,624,1730,36368
  2013 Jul,5922,260700,93299,8427,49225,41912,47834,248635,67662,47290,70113,41913,11364,73550,1512,7038,606,1313,475,935,6403,7401,45176,3049,3672,1295,15466,18262,5303,9591,3501,1654,4784,4024,2710,10154,35349,112743,14813,224,693,2528,31137
  2013 Jun,7837,295907,107286,7718,55868,36018,42194,166890,43857,29680,57757,36409,10360,99754,2770,6206,699,1215,857,2839,5375,5748,45860,1735,1868,1620,9349,13453,4185,5661,2463,1388,4264,2278,2240,5735,28866,91231,10626,410,582,2645,29247
  2013 May,5574,251092,109517,8432,76929,48171,30496,198429,40898,22261,55491,33857,9611,122030,1646,7066,421,1044,320,954,4477,6699,36909,1850,1691,1527,12432,15763,4407,5916,1904,1264,5566,2317,2199,6663,27724,84444,10225,249,500,2301,27016
  2013 Apr,4486,218602,95414,13031,73215,54728,31863,227870,40252,24261,53292,31296,9832,76103,1572,12588,504,1023,479,1089,6582,7769,38908,2025,2149,2213,13403,18494,4011,5891,3073,1255,6499,2508,3243,7455,38620,94285,9035,324,738,2494,31772
  2013 Mar,8290,259244,108683,8693,63521,44202,27732,205790,50220,22606,87359,36755,9617,70480,1734,7474,2223,1241,550,1610,6560,9635,46881,2712,3545,3271,16120,31307,5463,7476,4885,1856,7873,3469,5395,7766,52527,87652,7087,289,572,3184,35342
  2013 Feb,4427,196059,91895,5680,44540,30311,28981,252958,48473,39087,68442,40229,7379,59665,1249,6392,731,1196,1302,972,3873,8995,40696,1973,3673,3755,12621,23053,4309,7098,3524,1361,6482,2530,5440,7107,44608,69470,5735,288,459,1606,32741
  2013 Jan,5773,254725,89300,6819,44201,32897,22879,189107,32438,32717,62857,53193,10584,71162,1778,6741,675,1351,456,1988,4424,9798,45736,2185,3745,3877,12798,22837,6262,7153,3382,1631,12197,2516,6892,7957,42983,119592,11908,277,909,3191,37827
  2012 Dec,12353,307155,135669,8073,58363,40548,28176,171109,42299,20995,69538,31232,10096,78272,1717,10726,693,1035,698,1100,6444,8932,43787,1922,2391,3668,11810,22338,4986,6028,2970,1395,7303,2415,5809,6923,38331,103207,10323,277,1271,4940,33219
  2012 Nov,6194,229432,124008,6870,55125,33908,25249,177112,36704,20223,70696,34014,8922,74794,1395,6607,738,1091,416,1006,4305,7659,40170,2188,2290,2889,12585,20254,5298,6638,3502,1683,6370,3264,3875,7564,39523,83972,8550,341,1158,2230,31267
  2012 Oct,5070,215668,93945,6935,56058,57136,25749,170529,38630,20456,62436,34713,9456,72348,1368,7229,575,1331,550,2517,5100,7002,38016,2046,2517,2541,11328,20744,4265,6884,2907,1740,4909,3646,3035,7634,38087,100138,11158,324,512,2230,33118
  2012 Sep,4106,195481,90484,6502,46880,34926,25917,128830,34584,18385,65991,31247,10030,58748,1710,6398,1747,1171,597,1080,4588,4858,32008,1970,1885,1586,12529,19658,5174,6117,2254,1421,4002,3565,1905,5931,34867,100891,11669,340,571,2639,26106
  2012 Aug,5860,276938,107841,6527,45775,38137,33230,206734,48138,27903,82747,47383,9707,63579,1394,7979,1985,999,1231,1785,8068,6454,36979,2692,1864,992,20864,20355,11397,8361,1903,1661,4101,5802,1872,6816,34351,79292,10901,258,932,1841,29976
  2012 Jul,5485,246772,90449,7699,45249,34542,46521,201652,50113,33511,61139,42524,10330,68749,3327,5847,1403,1239,965,2176,7448,7346,44265,2884,3359,1425,15402,17784,5403,9847,3587,1862,3848,3663,2430,8219,31208,105570,13772,315,615,2674,30993
  2012 Jun,6980,253510,107356,7397,49957,34526,39560,122630,36897,21006,52387,34394,9782,93694,3119,6040,1345,1088,979,2519,5716,5356,43468,1669,1801,1745,9301,13106,3668,5194,2506,1560,3567,2263,2043,4657,25663,92951,12021,304,681,2591,30742
  2012 May,4649,228359,99568,8984,72484,42583,30562,139946,33091,20607,50006,33018,9231,124147,1489,5346,924,977,318,874,4312,6166,36739,1661,1644,1607,10902,14377,3639,5329,1875,1240,3939,2131,2008,5467,26743,72641,10137,267,534,2251,23676
  2012 Apr,4472,214289,96892,12114,75052,56217,29837,173543,47141,22999,49203,31252,9279,76035,1294,10243,886,979,389,1029,5282,7294,35169,2637,2660,2358,14517,19375,4848,5609,3444,1463,5023,3051,3447,7726,38489,81927,9881,345,1220,3018,30025
  2012 Mar,6942,227695,108054,8197,58682,43230,28214,182348,35154,21401,74995,34077,8951,65547,1492,5286,5048,1216,340,1244,6088,9930,45720,2610,3557,4144,14253,30111,6122,7163,4579,1817,6603,3107,5175,7958,52121,70960,7469,271,813,2992,31457
  2012 Feb,4782,211738,88451,7038,50931,33176,26059,158002,30416,27260,67306,45397,7639,61815,1405,6251,1483,1336,655,975,4211,8303,41970,2392,4261,5586,14493,27868,5314,7351,4038,1557,6533,2398,5967,7709,47150,63878,6613,319,729,2172,31627
  2012 Jan,4862,230500,88970,6710,42248,28725,27160,201742,39000,27457,50672,45933,7250,57265,1496,5407,1726,1138,483,1664,3990,8495,38922,2153,3250,4792,10939,26463,5443,7082,3238,1566,12759,2473,5682,7253,40139,94946,11207,269,821,3185,33032
  2011 Dec,10382,284232,130493,8594,57114,39338,26995,113390,36204,15153,62585,29605,8366,78434,1850,11387,2029,778,495,1167,5857,7610,36418,2025,2232,4319,12050,21448,4873,6168,3097,1526,6881,3060,4934,6687,37068,84723,10514,253,1837,5305,29161
  2011 Nov,5139,188488,104972,7096,52726,29299,23406,100824,31543,15865,61293,33145,7610,72387,1486,6560,1827,1085,668,1907,6958,7843,36701,2181,2279,3092,11166,22487,4718,6532,3377,1695,5517,3173,3947,7767,39094,70012,8888,279,1080,2100,29575
  2011 Oct,4238,193879,88770,7624,63218,53133,23285,133563,31027,17775,57677,33594,8085,77196,1574,6469,1706,1136,361,1142,3710,6814,36840,2222,2241,2202,11204,18938,3767,7112,2667,1561,4575,3343,3228,7596,36372,84509,9876,373,750,2853,26988
  2011 Sep,3910,221319,103060,6966,51859,33009,26678,104211,31113,19057,62395,30112,8866,58309,1319,6394,3485,922,710,1545,4660,4554,29821,1819,1659,1259,10434,17400,3867,6318,1964,1521,4262,2948,1901,5725,33964,86076,9698,393,585,2715,24965
  2011 Aug,4556,228209,91344,7256,49558,34385,30612,183890,49034,26574,72034,44364,7316,60926,1154,7586,2339,1006,580,1056,6637,6399,34221,2464,1595,1240,17520,18141,8242,8909,1905,1570,4033,5411,1726,6090,34980,71953,11612,238,841,1798,27207
  2011 Jul,5522,251419,90175,9196,50938,40848,45542,183862,56960,33454,55479,40587,9038,71209,3568,7585,2182,1170,2404,3696,9149,7098,43187,2683,3064,1991,13943,15675,4151,9682,3201,1785,3888,3336,2455,7318,30667,94690,15973,496,953,2965,30686
  2011 Jun,6510,253383,97856,7571,52257,32783,36751,103335,37962,20445,38061,34233,7984,90742,2740,5296,2020,881,862,1512,5064,5125,39712,1498,1578,1985,7990,12094,3099,4924,2262,1499,3085,2015,2011,4497,24474,84371,12891,331,627,2117,23633
  2011 May,4007,199881,90528,7893,72488,44274,24500,110920,37886,18758,41594,33736,7830,114316,1653,5744,1678,984,378,936,4179,6116,34105,1623,1467,1056,10086,12628,3499,5445,1724,1302,3163,1963,1926,5333,28285,72365,12893,278,604,2028,22052
  2011 Apr,3747,194335,87230,11168,76197,55662,24152,131797,52413,18828,38311,28004,7707,74097,1490,9706,1064,931,342,1231,4447,7163,34124,2198,2307,1138,11852,18274,3583,5949,3353,1569,4157,2744,2856,7598,44974,85297,11322,266,993,3518,25226
  2011 Mar,5795,191842,96418,8466,59922,45728,23756,129749,32721,15222,59999,29619,8133,57601,1361,5635,8787,1084,392,792,4654,9415,43236,2452,2723,1649,12342,23715,5155,7100,2895,1531,5736,2811,3720,7002,49776,65885,6939,292,669,2634,26607
  2011 Feb,3890,177003,81747,5897,48107,31019,26850,149941,38190,19139,58190,36810,6368,50696,1161,5908,3038,1040,631,1208,3429,6898,33944,1755,3188,1757,10755,19290,3518,6229,2955,1311,4349,1973,3824,6551,41679,58135,4287,233,571,1565,25089
  2011 Jan,4547,208232,78342,6457,43339,33230,19704,132040,29322,18218,48799,41070,8228,63078,1572,5721,2279,1120,455,849,3992,7897,38267,2059,2868,2217,10957,19862,5048,6722,3050,1695,9732,2200,4840,6859,41430,98023,8102,397,1017,3908,28246
  2010 Dec,9516,262235,129821,8277,55518,39250,26550,99578,32636,12186,48844,25255,7879,73532,1777,10477,2669,903,403,793,4513,7624,34346,1958,1908,1790,10578,17552,4177,5969,2453,1632,5649,2568,4014,5891,39570,86705,7418,431,1626,5721,25389
  2010 Nov,4673,176118,99975,5953,50094,30197,21246,94035,29852,13133,51542,27814,7439,72920,1401,5786,2512,1310,723,1554,5729,6485,34324,2168,2266,1535,11753,22283,4394,6077,2916,1574,5098,2750,3276,7086,43263,64152,7245,424,1236,2187,27672
  2010 Oct,3750,178939,82803,6482,52011,57951,24692,92627,32834,13854,43497,29009,7543,75574,1469,6295,2215,1109,380,902,3683,6161,36707,1977,2451,1359,10062,18241,3328,6352,2903,1733,4522,2959,2609,7045,37587,77097,8799,444,682,2663,25613
  2010 Sep,4628,243869,95484,5376,40672,30711,24338,74457,28469,13486,45012,25665,7942,54860,1125,5759,4182,785,535,1345,4299,4337,27957,1878,1590,986,8362,15994,3734,5740,1912,1559,3550,3066,1772,4978,31704,80293,9481,298,651,2995,21749
  2010 Aug,4244,165525,75916,5838,39283,34804,32844,130593,46696,20959,56680,34169,7144,57109,1510,7816,2727,1199,719,972,6133,6397,34225,2542,1832,754,15794,17269,8781,7884,1939,1776,4255,5274,1748,6148,35000,68222,9122,524,932,2107,31494
  2010 Jul,5578,232630,82611,6879,43441,37256,43861,117778,46727,23937,44649,32673,9373,64912,3908,6207,2032,918,2548,2400,8870,6646,41173,2625,2934,968,11904,14647,4084,8447,2819,1725,3325,3267,2057,6888,31818,87289,10847,607,1163,1870,28756
  2010 Jun,5953,214445,93089,6236,44491,30712,35590,69081,32190,13542,36469,30033,8524,83472,2926,5750,2118,1174,806,942,4620,4969,39055,1535,1820,991,8359,11839,3201,4907,2412,1904,3096,2352,2117,4338,25742,74597,9655,348,654,2155,22823
  2010 May,4796,185809,81937,6556,55312,38925,26153,71636,32047,17111,36827,32161,7704,115965,1565,6043,1448,1029,451,771,3764,5457,32124,1542,1666,878,10323,14058,3406,5881,1807,1411,4067,1918,1822,6413,29301,63517,8109,307,640,2170,21849
  2010 Apr,3943,163076,77476,9646,54454,50657,26681,91702,35564,14509,35179,24785,7529,73219,1707,9961,1184,957,305,1038,4301,6734,33480,2089,2345,1064,11283,17908,3527,5571,2560,1578,3878,2222,2839,6926,41364,70079,6639,363,977,2722,24992
  2010 Mar,5692,166036,81757,7000,43959,31815,21338,88038,26245,15220,51836,30113,7747,53966,1662,5375,10024,1175,468,689,3842,7048,37123,2249,3584,1775,11349,24044,4014,6767,3807,2062,5037,2940,4166,6485,54457,63659,5602,379,938,2654,24767
  2010 Feb,4139,143921,68678,4583,32510,23154,20478,143050,24904,17738,40669,29589,5726,46061,1292,4734,4042,997,587,714,3036,6424,31167,1882,3786,1539,10684,17337,3821,6328,3263,1555,4465,2275,3956,6100,47583,55364,4481,315,944,1721,21795
  2010 Jan,5245,173640,67942,5512,32704,24635,19109,98918,19415,15511,37747,39437,7762,57404,1585,4770,1779,1277,443,513,3686,6860,35514,1954,3453,1972,10010,18091,4619,6597,2974,1928,8063,2174,4708,6078,44532,89584,8392,306,1174,3470,27008
  2009 Dec,9705,214634,110760,7056,41157,26830,22030,87983,21046,10039,40420,20033,8001,70097,2165,8090,2054,886,412,714,4299,6790,33244,1748,2400,1761,9376,15824,3753,6413,2791,1786,4606,2316,3915,5306,39590,84158,6855,312,1806,5325,23747
  2009 Nov,5260,143014,82747,5694,37810,23588,19905,90358,20525,11900,38949,19620,6735,49836,1495,6078,1722,1051,413,1069,4631,6391,34402,1967,2811,1395,10339,20619,3436,6431,2834,1830,4900,3008,2959,6119,43734,68570,7570,365,1284,2656,24153
  2009 Oct,3988,137011,69426,6249,38367,35977,20939,83273,25512,13208,43247,16069,8291,67239,1461,6242,1336,1083,254,666,3078,5752,32734,1806,2795,1137,10012,17384,3695,7021,2566,1855,4691,3155,2597,6314,40669,81622,9431,390,997,3061,22353
  2009 Sep,4257,182901,68008,5042,35289,23587,17520,59588,21509,10443,52561,15714,7105,57110,1055,5616,1934,857,345,771,3644,3761,25190,1707,1940,997,8383,14742,3727,6076,2159,1685,3644,3032,1957,4533,34753,73407,9259,200,612,2505,20371
  2009 Aug,3520,131985,61893,4850,35930,23533,24506,86530,36218,17490,50698,32332,7442,54631,2358,7523,1864,1088,821,1503,5466,5623,32539,2254,1885,704,16005,15563,8871,8954,1728,1835,3643,4449,1494,4832,37583,67152,8957,301,1058,2532,24506
  2009 Jul,3598,169634,54087,6147,32072,26643,32814,72326,33382,17351,46633,30389,9521,65978,3756,5820,1249,856,1843,1807,6655,5732,37270,2387,3007,969,11867,13356,3623,9498,2662,2085,3131,2842,1829,6023,34318,79439,10879,397,967,3304,23961
  2009 Jun,5618,159603,61465,5150,33487,24479,28171,41650,21703,11486,28060,20991,7387,78538,3014,4992,1362,846,572,849,4115,4495,32615,1447,1803,1332,7685,10373,3038,4654,2096,1910,2892,2152,1816,3709,26545,65796,9342,383,920,2435,19428
  2009 May,3935,129444,54995,5512,42460,27066,20397,52058,21529,11602,29800,21854,6427,90395,1460,4544,790,745,276,671,3557,4956,26832,1316,1682,1202,8642,11002,3069,4889,1741,1423,3563,1898,1621,4392,29423,59136,7963,220,605,2218,19081
  2009 Apr,3759,126815,51299,8226,44622,32151,21663,86525,28587,11970,31633,21323,6521,55994,1442,7845,911,606,197,719,4177,5866,28287,1946,2511,1361,9831,15931,2861,5109,3076,1878,3436,1965,2597,6162,41624,65046,6620,297,945,2723,21918
  2009 Mar,5390,128446,59660,5916,35718,28055,18307,91275,21290,12542,46797,20759,6699,46779,1503,4340,8136,1025,188,781,3631,7104,32022,1868,2949,1801,10418,19351,3979,5917,3186,2211,3939,2259,3114,5605,52839,54821,4819,334,777,2340,22346
  2009 Feb,3421,103501,45726,4909,28911,23335,19292,80037,19720,12744,42807,27387,6299,42275,1314,4598,1525,994,228,819,2678,6443,26724,1447,3415,1827,9002,14985,3154,5701,2781,1967,3828,1838,3343,5456,47261,51144,4327,362,553,2016,19841
  2009 Jan,4080,118342,44243,5521,26249,22661,19870,105144,23399,15986,38382,25516,6209,46752,1257,4322,1034,847,201,446,3598,7121,28845,1472,3373,1549,8168,14551,3564,5696,2734,2255,8075,1957,4682,5378,41545,80008,7812,300,894,3416,24684
  2008 Dec,8090,180678,84324,6928,37367,24747,19903,66689,22238,11947,47602,22308,7292,62641,1844,9304,1392,789,450,855,5317,7664,31577,1859,2459,1512,8604,14272,3658,5773,2559,2653,5138,2498,4322,5853,43612,79278,8098,382,1682,5244,26599
  2008 Nov,3989,119530,60463,5738,34208,21914,17701,79096,19197,12535,48225,24445,7379,56927,1739,5631,1063,1002,221,607,3082,7040,30713,2033,2507,1169,8782,16946,3367,6121,2615,2642,5198,2623,2951,6570,43751,60257,7239,277,1177,2765,23890
  2008 Oct,3340,158276,54973,6581,38577,34193,18719,76836,20016,13503,47736,30930,8167,67510,1335,6018,1243,1075,265,750,3898,6708,31842,1563,2775,946,8200,16762,3077,6525,2487,2439,4748,2333,2684,6014,39729,75866,11008,337,769,3859,24788
  2008 Sep,3569,144158,44892,5815,34314,24530,16065,66582,20765,12303,48771,25914,7914,53488,1115,4969,1336,912,137,474,3266,4273,25160,1440,1966,1181,7682,14033,3397,5476,2060,2070,3815,2550,1848,4873,34252,72816,10776,241,510,2781,21305
  2008 Aug,4627,134811,44118,6680,34984,25901,24828,91325,26847,16923,53699,42338,8481,58626,2492,8029,1714,892,1094,1911,7253,6026,32440,2108,2056,648,13597,14690,6556,7241,1943,2064,4385,4595,1598,5361,39102,65465,10578,521,1010,2753,27706
  2008 Jul,4505,168492,46968,7068,34135,28884,29462,105528,28218,19398,47659,39614,9581,63373,3749,6286,844,863,1022,1592,8182,6838,39087,2243,3121,784,11267,13500,3971,7759,3126,2443,3922,3364,2114,5896,33489,79776,13056,565,1062,3415,26348
  2008 Jun,5959,154546,53217,6292,33708,26211,27272,70565,23055,13146,40879,35998,8853,84143,2551,5799,1021,905,404,885,4625,5078,35304,1409,2003,806,7147,10893,2450,4945,2680,2316,3626,1672,1944,3830,27584,73802,10554,371,846,2835,20825
  2008 May,3927,137243,52115,6199,41872,30487,18193,86785,22867,14276,42382,36412,8495,103468,1663,6283,634,828,157,533,3029,5699,30862,1449,1915,854,8451,11609,2638,5542,1675,1730,4272,1715,1768,5038,29792,65901,9880,295,662,2405,21604
  2008 Apr,3409,131809,53749,8873,39347,36226,19097,107639,20232,13944,36301,33946,7718,62908,1502,9426,772,816,220,719,3491,6058,31189,1598,2454,982,9897,14169,3556,5805,2500,1939,4102,1970,2538,5993,41655,63079,8378,388,1216,3837,23991
