YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,CC6,5127,405
2024-12,WEEKENDS/HOLIDAY,19,TRAIN,SW8,697,1079
2024-12,WEEKDAY,13,TRAIN,DT10,3281,2464
2024-12,WEEKDAY,18,TRAIN,NE17/PTC,60982,117920
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,NS8,7458,2613
2024-12,WEEKDAY,12,TRAIN,DT23,4022,3434
2024-12,WEEKDAY,22,TRAIN,NE5,22495,8318
2024-12,WEEKENDS/HOLIDAY,23,TRAIN,PE6,267,1328
2024-12,WEEKENDS/HOLIDAY,16,TRAIN,DT29,3139,3252
2024-12,WEEKDAY,21,TRAIN,EW18,10398,17089
2024-12,WEEKDAY,13,TRAIN,TE8,11453,9120
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,EW33,2576,1255
2024-12,WEEKENDS/HOLIDAY,0,TRAIN,SE2,24,467
2024-12,WEEKDAY,14,TRAIN,NE8,26972,26270
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,EW26,4150,18181
2024-12,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,35116,53645
2024-12,WEEKDAY,13,TRAIN,SW1,3508,4474
2024-12,WEEKDAY,23,TRAIN,EW28,2488,15166
2024-12,WEEKENDS/HOLIDAY,22,TRAIN,EW16/NE3/TE17,6573,6258
2024-12,WEEKDAY,15,TRAIN,EW1,22076,25796
2024-12,WEEKDAY,11,TRAIN,EW24/NS1,35422,71230
2024-12,WEEKDAY,17,TRAIN,DT29,10816,12419
2024-12,WEEKENDS/HOLIDAY,21,TRAIN,EW30,484,1477
2024-12,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4179,3161
2024-12,WEEKDAY,0,TRAIN,PE4,88,342
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,DT18,3136,4218
2024-12,WEEKDAY,8,TRAIN,DT20,9329,14234
2024-12,WEEKENDS/HOLIDAY,20,TRAIN,EW1,7465,15132
2024-12,WEEKDAY,12,TRAIN,DT5,15468,11325
2024-12,WEEKENDS/HOLIDAY,12,TRAIN,DT33,9021,4390
2024-12,WEEKDAY,17,TRAIN,EW5,50028,54586
2024-12,WEEKENDS/HOLIDAY,6,TRAIN,CC23,126,1012
2024-12,WEEKDAY,20,TRAIN,CC8,5869,9457
2024-12,WEEKENDS/HOLIDAY,18,TRAIN,NS16,21269,28763
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2090,567
2024-12,WEEKENDS/HOLIDAY,9,TRAIN,NS11,24879,10021
2024-12,WEEKDAY,22,TRAIN,EW1,10544,32836
2024-12,WEEKDAY,11,TRAIN,EW18,16461,11453
2024-12,WEEKDAY,5,TRAIN,PW5,1714,87
2024-12,WEEKENDS/HOLIDAY,11,TRAIN,NS19,22079,14697
2024-12,WEEKENDS/HOLIDAY,8,TRAIN,PE3,2761,1889
2024-12,WEEKDAY,16,TRAIN,SW6,3107,3800
