YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-11,WEEKDAY,8,TRAIN,CC8,25245,10368
2024-11,WEEKENDS/HOLIDAY,15,TRAIN,CC23,2160,1721
2024-11,WEEKENDS/HOLIDAY,17,TRAIN,DT10,2169,1570
2024-11,WEEKDAY,11,TRAIN,PE1,3935,2012
2024-11,WEEKDAY,10,TRAIN,TE3,9716,4942
2024-11,WEEKENDS/HOLIDAY,19,TRAIN,DT31,2766,4968
2024-11,WEEKDAY,22,TRAIN,EW26,7038,36809
2024-11,WEEKENDS/HOLIDAY,12,TRAIN,SW8,1139,736
2024-11,WEEKENDS/HOLIDAY,13,TRAIN,TE12,2707,1856
2024-11,WEEKENDS/HOLIDAY,11,TRAIN,TE28,1986,1405
2024-11,WEEKDAY,7,TRAIN,DT13,9028,8249
2024-11,WEEKDAY,11,TRAIN,NE12/CC13,50123,47076
2024-11,WEEKENDS/HOLIDAY,8,TRAIN,TE13,769,2382
2024-11,WEEKDAY,16,TRAIN,CC25,10236,6224
2024-11,WEEKENDS/HOLIDAY,14,TRAIN,TE13,2024,1942
2024-11,WEEKENDS/HOLIDAY,9,TRAIN,DT5,7609,6894
2024-11,WEEKDAY,16,TRAIN,CC8,9323,8125
2024-11,WEEKDAY,16,TRAIN,DT2,4695,2081
2024-11,WEEKENDS/HOLIDAY,20,TRAIN,EW27,17396,28456
2024-11,WEEKDAY,19,TRAIN,NE16/STC,49960,115764
2024-11,WEEKENDS/HOLIDAY,16,TRAIN,EW2/DT32,28518,30056
2024-11,WEEKENDS/HOLIDAY,7,TRAIN,PE3,1764,1026
2024-11,WEEKENDS/HOLIDAY,6,TRAIN,EW29,2654,8649
2024-11,WEEKDAY,9,TRAIN,CC12,12885,4161
2024-11,WEEKDAY,23,TRAIN,NE12/CC13,9133,26098
2024-11,WEEKDAY,9,TRAIN,EW7,24986,15152
2024-11,WEEKENDS/HOLIDAY,22,TRAIN,NS27/CE2/TE20,909,638
2024-11,WEEKENDS/HOLIDAY,12,TRAIN,CC20,3206,2236
2024-11,WEEKENDS/HOLIDAY,20,TRAIN,EW4,3461,8126
2024-11,WEEKDAY,21,TRAIN,EW9,16288,31008
2024-11,WEEKDAY,21,TRAIN,SW3,540,2947
2024-11,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,25488,23496
2024-11,WEEKENDS/HOLIDAY,13,TRAIN,EW4,7500,4990
2024-11,WEEKDAY,5,TRAIN,SE5,960,306
2024-11,WEEKENDS/HOLIDAY,13,TRAIN,NS2,13552,11610
2024-11,WEEKENDS/HOLIDAY,21,TRAIN,BP3,632,2349
2024-11,WEEKENDS/HOLIDAY,15,TRAIN,TE29,1327,1659
2024-11,WEEKENDS/HOLIDAY,12,TRAIN,TE22,1436,2742
2024-11,WEEKENDS/HOLIDAY,6,TRAIN,NS20,1069,9610
2024-11,WEEKDAY,5,TRAIN,SE3,1751,18
2024-11,WEEKDAY,7,TRAIN,SW8,4285,3412
2024-11,WEEKDAY,23,TRAIN,CC14,776,2446
2024-11,WEEKDAY,15,TRAIN,SW6,2566,3153
2024-11,WEEKDAY,0,TRAIN,EW15,168,210
2024-11,WEEKDAY,0,TRAIN,DT13,319,595
2024-11,WEEKDAY,23,TRAIN,EW27,4918,23365
2024-11,WEEKENDS/HOLIDAY,23,TRAIN,DT17,1244,505
2024-11,WEEKDAY,20,TRAIN,CG1/DT35,27142,6186
2024-11,WEEKENDS/HOLIDAY,13,TRAIN,TE5,2123,1871
2024-11,WEEKENDS/HOLIDAY,14,TRAIN,BP12,983,819
2024-11,WEEKENDS/HOLIDAY,23,TRAIN,NS3,1044,4664
2024-11,WEEKDAY,14,TRAIN,EW25,5949,6944
2024-11,WEEKDAY,8,TRAIN,EW33,8003,12840
2024-11,WEEKDAY,17,TRAIN,EW18,36220,28248
2024-11,WEEKDAY,9,TRAIN,TE8,11086,10757
2024-11,WEEKDAY,19,TRAIN,BP10,2100,8722
2024-11,WEEKENDS/HOLIDAY,8,TRAIN,DT34,1524,1488
2024-11,WEEKDAY,8,TRAIN,NE13,57578,31987
2024-11,WEEKDAY,23,TRAIN,NS16,7279,28722
2024-11,WEEKENDS/HOLIDAY,11,TRAIN,DT30,4507,1649
2024-11,WEEKENDS/HOLIDAY,23,TRAIN,NE7/DT12,3709,2791
2024-11,WEEKENDS/HOLIDAY,8,TRAIN,NS9/TE2,23029,21373
2024-11,WEEKDAY,23,TRAIN,EW23,8796,15761
2024-11,WEEKENDS/HOLIDAY,22,TRAIN,EW23,8657,15852
2024-11,WEEKENDS/HOLIDAY,5,TRAIN,CC11,312,188
2024-11,WEEKENDS/HOLIDAY,10,TRAIN,SE2,3652,1510
2024-11,WEEKDAY,9,TRAIN,BP8,1482,2222
2024-11,WEEKENDS/HOLIDAY,8,TRAIN,CC3,669,3883
2024-11,WEEKENDS/HOLIDAY,5,TRAIN,NE14,1246,138
2024-11,WEEKDAY,14,TRAIN,BP3,3021,3477
2024-11,WEEKDAY,13,TRAIN,DT23,2898,4481
2024-11,WEEKENDS/HOLIDAY,6,TRAIN,PW2,56,19
2024-11,WEEKDAY,12,TRAIN,TE23,2275,1790
2024-11,WEEKENDS/HOLIDAY,18,TRAIN,NE13,11793,13036
2024-11,WEEKDAY,16,TRAIN,TE6,6914,11915
2024-11,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,17552,19291
2024-11,WEEKENDS/HOLIDAY,12,TRAIN,BP8,806,770
2024-11,WEEKDAY,16,TRAIN,DT5,16210,16628
2024-11,WEEKENDS/HOLIDAY,17,TRAIN,NS13,23197,31939
2024-11,WEEKDAY,14,TRAIN,EW8/CC9,44756,39886
2024-11,WEEKDAY,8,TRAIN,NS25/EW13,11218,104537
2024-11,WEEKENDS/HOLIDAY,7,TRAIN,TE7,1511,1493
2024-11,WEEKDAY,21,TRAIN,NS25/EW13,91057,11743
2024-11,WEEKDAY,21,TRAIN,EW2/DT32,45686,52542
2024-11,WEEKENDS/HOLIDAY,5,TRAIN,NE10,274,100
2024-11,WEEKDAY,16,TRAIN,NS15,44782,14620
2024-11,WEEKENDS/HOLIDAY,10,TRAIN,DT28,5283,1741
2024-11,WEEKDAY,12,TRAIN,CC12,6896,4734
2024-11,WEEKENDS/HOLIDAY,5,TRAIN,TE28,20,0
2024-11,WEEKDAY,15,TRAIN,SW8,1649,1894
2024-11,WEEKENDS/HOLIDAY,9,TRAIN,EW29,2306,2665
2024-11,WEEKENDS/HOLIDAY,23,TRAIN,NE17/PTC,2653,8872
2024-11,WEEKENDS/HOLIDAY,7,TRAIN,NS15,5905,5918
2024-11,WEEKDAY,8,TRAIN,EW17,67996,39556
