timestamp,station_name,station_id,air_temperature,relative_humidity,wind_speed,rainfall
2024-03-01T00:00:00,Ang Mo Kio Avenue 5,S109,27.3,80.7,3.9,
2024-03-01T00:00:00,Banyan Road,S117,28.6,73.6,2.3,
2024-03-01T00:00:00,Clementi Road,S50,27.4,81.5,2.6,
2024-03-01T00:00:00,East Coast Parkway,S107,28.0,79.1,6.9,
2024-03-01T00:00:00,Kim Chuan Road,S43,28.3,75.8,8.2,
2024-03-01T00:00:00,Nanyang Avenue,S44,28.0,77.7,,
2024-03-01T00:00:00,Old Choa Chu Kang Road,S121,27.8,80.4,4.9,
2024-03-01T00:00:00,Scotts Road,S111,27.4,79.3,4.0,
2024-03-01T00:00:00,Sentosa,S60,28.2,74.2,2.3,
2024-03-01T00:00:00,Tuas South Avenue 3,S115,28.5,72.5,1.5,
2024-03-01T00:00:00,Upper Changi Road North,S24,27.4,80.6,,
2024-03-01T00:00:00,West Coast Highway,S116,28.1,79.2,9.89999,
2024-03-01T00:00:00,Woodlands Avenue 9,S104,27.0,,6.2,
2024-03-01T01:00:00,Ang Mo Kio Avenue 5,S109,27.0,80.3,2.2,
2024-03-01T01:00:00,Banyan Road,S117,28.1,77.7,3.6,
2024-03-01T01:00:00,Clementi Road,S50,27.1,82.9,2.4,
2024-03-01T01:00:00,East Coast Parkway,S107,27.7,79.9,5.5,
2024-03-01T01:00:00,Kim Chuan Road,S43,27.9,75.5,7.5,
2024-03-01T01:00:00,Nanyang Avenue,S44,27.6,80.7,,
2024-03-01T01:00:00,Old Choa Chu Kang Road,S121,27.4,83.9,4.8,
2024-03-01T01:00:00,Scotts Road,S111,27.1,80.1,3.7,
2024-03-01T01:00:00,Sentosa,S60,28.0,76.0,1.4,
2024-03-01T01:00:00,Tuas South Avenue 3,S115,28.0,75.8,1.0,
2024-03-01T01:00:00,Upper Changi Road North,S24,27.2,81.0,,
2024-03-01T01:00:00,West Coast Highway,S116,27.7,80.8,9.60001,
2024-03-01T01:00:00,Woodlands Avenue 9,S104,27.0,,6.9,
2024-03-01T02:00:00,Banyan Road,S117,28.1,76.3,2.2,
2024-03-01T02:00:00,Clementi Road,S50,26.9,80.9,3.9,
2024-03-01T02:00:00,East Coast Parkway,S107,27.8,82.0,4.6,
2024-03-01T02:00:00,Kim Chuan Road,S43,27.3,79.0,6.5,
2024-03-01T02:00:00,Nanyang Avenue,S44,27.4,82.4,,
2024-03-01T02:00:00,Old Choa Chu Kang Road,S121,27.4,81.4,4.7,
2024-03-01T02:00:00,Scotts Road,S111,27.5,73.0,4.2,
2024-03-01T02:00:00,Sentosa,S60,27.9,73.1,2.4,
2024-03-01T02:00:00,Tuas South Avenue 3,S115,27.7,77.1,0.8,
2024-03-01T02:00:00,Upper Changi Road North,S24,27.2,83.2,,
2024-03-01T02:00:00,West Coast Highway,S116,27.6,79.8,10.5,
2024-03-01T02:00:00,Woodlands Avenue 9,S104,26.9,,5.7,
2024-03-01T03:00:00,Ang Mo Kio Avenue 5,S109,26.8,80.3,2.3,
2024-03-01T03:00:00,Banyan Road,S117,28.0,75.8,3.5,
2024-03-01T03:00:00,Clementi Road,S50,26.8,81.2,1.9,
2024-03-01T03:00:00,East Coast Parkway,S107,27.5,84.5,4.5,
2024-03-01T03:00:00,Kim Chuan Road,S43,27.3,79.7,6.5,
2024-03-01T03:00:00,Nanyang Avenue,S44,27.2,81.4,,
2024-03-01T03:00:00,Old Choa Chu Kang Road,S121,27.2,84.4,5.4,
2024-03-01T03:00:00,Scotts Road,S111,27.1,80.1,3.6,
2024-03-01T03:00:00,Sentosa,S60,27.8,75.6,2.1,
2024-03-01T03:00:00,Tuas South Avenue 3,S115,27.7,76.6,0.8,
2024-03-01T03:00:00,Upper Changi Road North,S24,27.2,84.2,,
2024-03-01T03:00:00,West Coast Highway,S116,27.5,79.9,9.89999,
2024-03-01T03:00:00,Woodlands Avenue 9,S104,26.9,,4.6,
2024-03-01T04:00:00,Banyan Road,S117,27.8,82.2,3.2,
2024-03-01T04:00:00,Clementi Road,S50,26.8,84.5,2.8,
2024-03-01T04:00:00,East Coast Parkway,S107,27.6,85.5,5.0,
2024-03-01T04:00:00,Kim Chuan Road,S43,27.4,81.9,5.7,
2024-03-01T04:00:00,Nanyang Avenue,S44,27.3,84.0,,
2024-03-01T04:00:00,Old Choa Chu Kang Road,S121,27.2,86.1,6.2,
2024-03-01T04:00:00,Scotts Road,S111,27.0,82.1,4.5,
2024-03-01T04:00:00,Sentosa,S60,27.7,78.9,1.3,
2024-03-01T04:00:00,Tuas South Avenue 3,S115,27.5,79.2,1.5,
2024-03-01T04:00:00,Upper Changi Road North,S24,27.3,84.3,,
2024-03-01T04:00:00,West Coast Highway,S116,27.4,83.4,12.3,
2024-03-01T04:00:00,Woodlands Avenue 9,S104,26.8,,3.1,
2024-03-01T05:00:00,Ang Mo Kio Avenue 5,S109,27.0,83.0,3.6,
2024-03-01T05:00:00,Banyan Road,S117,27.7,82.8,1.2,
2024-03-01T05:00:00,Clementi Road,S50,26.9,85.5,2.1,
2024-03-01T05:00:00,East Coast Parkway,S107,27.7,83.0,5.1,
2024-03-01T05:00:00,Kim Chuan Road,S43,27.6,80.9,6.3,
2024-03-01T05:00:00,Nanyang Avenue,S44,27.3,84.6,,
2024-03-01T05:00:00,Old Choa Chu Kang Road,S121,27.2,87.4,3.7,
2024-03-01T05:00:00,Scotts Road,S111,27.0,82.7,2.5,
2024-03-01T05:00:00,Sentosa,S60,27.8,76.4,2.3,
2024-03-01T05:00:00,Tuas South Avenue 3,S115,27.2,82.0,2.0,
2024-03-01T05:00:00,Upper Changi Road North,S24,27.3,82.7,,
2024-03-01T05:00:00,West Coast Highway,S116,27.5,84.5,9.7,
2024-03-01T05:00:00,Woodlands Avenue 9,S104,26.8,,4.2,
2024-03-01T06:00:00,Ang Mo Kio Avenue 5,S109,26.9,84.5,2.8,
2024-03-01T06:00:00,Banyan Road,S117,27.6,82.2,2.2,
2024-03-01T06:00:00,Clementi Road,S50,26.8,86.1,2.1,
2024-03-01T06:00:00,East Coast Parkway,S107,27.7,83.2,6.8,
2024-03-01T06:00:00,Kim Chuan Road,S43,27.7,81.3,6.1,
2024-03-01T06:00:00,Nanyang Avenue,S44,26.8,86.5,,
2024-03-01T06:00:00,Old Choa Chu Kang Road,S121,26.9,87.5,1.6,
2024-03-01T06:00:00,Scotts Road,S111,26.9,84.0,2.4,
2024-03-01T06:00:00,Sentosa,S60,27.7,78.8,1.6,
2024-03-01T06:00:00,Tuas South Avenue 3,S115,27.2,81.8,2.0,
2024-03-01T06:00:00,Upper Changi Road North,S24,27.1,84.0,,
2024-03-01T06:00:00,West Coast Highway,S116,27.5,84.3,10.1,
2024-03-01T06:00:00,Woodlands Avenue 9,S104,26.8,,6.5,
2024-03-01T07:00:00,Ang Mo Kio Avenue 5,S109,26.8,84.4,3.0,
2024-03-01T07:00:00,Banyan Road,S117,27.2,85.0,1.6,
2024-03-01T07:00:00,Clementi Road,S50,26.9,85.5,2.0,
2024-03-01T07:00:00,East Coast Parkway,S107,27.7,83.2,5.7,
2024-03-01T07:00:00,Kim Chuan Road,S43,27.7,81.2,5.1,
2024-03-01T07:00:00,Nanyang Avenue,S44,26.6,87.2,,
2024-03-01T07:00:00,Old Choa Chu Kang Road,S121,26.6,88.3,2.1,
2024-03-01T07:00:00,Scotts Road,S111,26.9,83.7,2.5,
2024-03-01T07:00:00,Sentosa,S60,27.7,78.8,1.5,
2024-03-01T07:00:00,Tuas South Avenue 3,S115,27.2,82.1,1.7,
2024-03-01T07:00:00,Upper Changi Road North,S24,27.0,85.0,,
2024-03-01T07:00:00,West Coast Highway,S116,27.5,84.2,12.1,
2024-03-01T07:00:00,Woodlands Avenue 9,S104,26.8,,5.3,
2024-03-01T08:00:00,Ang Mo Kio Avenue 5,S109,27.0,84.2,2.8,
2024-03-01T08:00:00,Banyan Road,S117,27.5,83.2,2.4,
