timestamp,station_name,station_id,air_temperature,relative_humidity,wind_speed,rainfall
2022-11-01T00:00:00,Ang Mo Kio Avenue 5,S109,26.9,83.6,3.4,
2022-11-01T00:00:00,Clementi Road,S50,26.9,86.6,2.9,
2022-11-01T00:00:00,East Coast Parkway,S107,28.0,83.0,2.9,
2022-11-01T00:00:00,Kim Chuan Road,S43,27.6,82.6,4.2,
2022-11-01T00:00:00,Marina Gardens Drive,S108,28.0,92.9,3.6,
2022-11-01T00:00:00,Nanyang Avenue,S44,26.9,86.1,2.6,
2022-11-01T00:00:00,Old Choa Chu Kang Road,S121,27.3,87.0,6.8,
2022-11-01T00:00:00,Pulau Ubin,S106,26.4,90.3,2.6,
2022-11-01T00:00:00,Scotts Road,S111,27.0,83.0,2.5,
2022-11-01T00:00:00,Semakau Landfill,S102,28.2,85.1,5.0,
2022-11-01T00:00:00,Sentosa,S60,28.0,78.6,1.8,
2022-11-01T00:00:00,Tuas South Avenue 3,S115,28.1,79.2,1.5,
2022-11-01T00:00:00,Upper Changi Road North,S24,27.1,86.7,3.0,
2022-11-01T00:00:00,West Coast Highway,S116,27.9,94.7,11.4,
2022-11-01T00:00:00,Woodlands Avenue 9,S104,26.9,85.8,4.6,
2022-11-01T00:00:00,Woodlands Road,S100,27.1,85.6,3.3,
2022-11-01T00:00:00,Banyan Road,S117,,,3.7,
2022-11-01T01:00:00,Ang Mo Kio Avenue 5,S109,26.8,85.0,2.5,
2022-11-01T01:00:00,Clementi Road,S50,26.7,88.2,2.3,
2022-11-01T01:00:00,East Coast Parkway,S107,28.0,84.1,4.1,
2022-11-01T01:00:00,Kim Chuan Road,S43,27.5,84.3,4.9,
2022-11-01T01:00:00,Marina Gardens Drive,S108,27.5,97.2,1.6,
2022-11-01T01:00:00,Nanyang Avenue,S44,26.6,87.7,2.4,
2022-11-01T01:00:00,Old Choa Chu Kang Road,S121,26.9,89.4,6.2,
2022-11-01T01:00:00,Pulau Ubin,S106,26.2,91.6,2.1,
2022-11-01T01:00:00,Scotts Road,S111,26.8,86.0,2.1,
2022-11-01T01:00:00,Semakau Landfill,S102,28.0,86.5,6.8,
2022-11-01T01:00:00,Sentosa,S60,27.8,80.2,1.7,
2022-11-01T01:00:00,Tuas South Avenue 3,S115,27.7,82.7,2.9,
2022-11-01T01:00:00,Upper Changi Road North,S24,27.1,86.1,2.8,
2022-11-01T01:00:00,West Coast Highway,S116,27.6,96.9,9.0,
2022-11-01T01:00:00,Woodlands Avenue 9,S104,26.7,86.9,2.5,
2022-11-01T01:00:00,Woodlands Road,S100,26.9,87.2,1.6,
2022-11-01T01:00:00,Banyan Road,S117,,,3.6,
2022-11-01T02:00:00,Ang Mo Kio Avenue 5,S109,26.7,85.5,1.9,
2022-11-01T02:00:00,Clementi Road,S50,26.6,89.4,1.4,
2022-11-01T02:00:00,East Coast Parkway,S107,27.9,83.9,4.1,
2022-11-01T02:00:00,Kim Chuan Road,S43,27.2,85.7,2.9,
2022-11-01T02:00:00,Marina Gardens Drive,S108,27.3,99.3,2.2,
2022-11-01T02:00:00,Nanyang Avenue,S44,26.5,87.9,2.0,
2022-11-01T02:00:00,Old Choa Chu Kang Road,S121,26.6,91.6,5.6,
2022-11-01T02:00:00,Pulau Ubin,S106,25.4,94.5,0.5,
2022-11-01T02:00:00,Scotts Road,S111,26.7,86.2,2.9,
2022-11-01T02:00:00,Semakau Landfill,S102,28.0,86.8,6.1,
2022-11-01T02:00:00,Sentosa,S60,27.4,82.9,1.2,
2022-11-01T02:00:00,Tuas South Avenue 3,S115,27.4,84.1,1.3,
2022-11-01T02:00:00,Upper Changi Road North,S24,26.8,87.2,1.8,
2022-11-01T02:00:00,West Coast Highway,S116,27.3,98.3,6.0,
2022-11-01T02:00:00,Woodlands Avenue 9,S104,26.5,87.0,4.3,
2022-11-01T02:00:00,Woodlands Road,S100,26.6,88.0,1.0,
2022-11-01T02:00:00,Banyan Road,S117,,,3.5,
2022-11-01T03:00:00,Ang Mo Kio Avenue 5,S109,26.6,85.0,2.2,
2022-11-01T03:00:00,Clementi Road,S50,26.4,89.0,2.7,
2022-11-01T03:00:00,East Coast Parkway,S107,27.9,84.7,3.2,
2022-11-01T03:00:00,Kim Chuan Road,S43,27.4,84.3,2.5,
2022-11-01T03:00:00,Marina Gardens Drive,S108,27.5,97.9,2.7,
2022-11-01T03:00:00,Nanyang Avenue,S44,26.1,89.2,3.1,
2022-11-01T03:00:00,Old Choa Chu Kang Road,S121,26.6,91.0,5.3,
2022-11-01T03:00:00,Pulau Ubin,S106,25.3,95.1,0.9,
2022-11-01T03:00:00,Scotts Road,S111,26.6,86.5,2.1,
2022-11-01T03:00:00,Semakau Landfill,S102,27.9,86.4,6.9,
2022-11-01T03:00:00,Sentosa,S60,27.6,81.2,1.4,
2022-11-01T03:00:00,Tuas South Avenue 3,S115,27.2,84.7,2.4,
2022-11-01T03:00:00,Upper Changi Road North,S24,26.7,87.5,2.1,
2022-11-01T03:00:00,West Coast Highway,S116,27.2,97.9,11.1,
2022-11-01T03:00:00,Woodlands Avenue 9,S104,26.3,88.3,4.2,
2022-11-01T03:00:00,Woodlands Road,S100,26.7,86.6,1.6,
2022-11-01T03:00:00,Banyan Road,S117,,,1.9,
2022-11-01T04:00:00,Ang Mo Kio Avenue 5,S109,26.5,85.5,1.8,
2022-11-01T04:00:00,Clementi Road,S50,26.4,88.8,1.2,
2022-11-01T04:00:00,East Coast Parkway,S107,27.7,84.5,2.5,
2022-11-01T04:00:00,Kim Chuan Road,S43,27.2,85.3,4.2,
2022-11-01T04:00:00,Marina Gardens Drive,S108,27.5,98.4,3.3,
2022-11-01T04:00:00,Nanyang Avenue,S44,25.8,90.5,2.8,
2022-11-01T04:00:00,Old Choa Chu Kang Road,S121,26.2,92.1,5.2,
2022-11-01T04:00:00,Pulau Ubin,S106,25.6,94.0,1.0,
2022-11-01T04:00:00,Scotts Road,S111,26.4,86.7,2.9,
