timestamp,station_name,station_id,air_temperature,relative_humidity,wind_speed,rainfall
2023-01-01T00:00:00,Ang Mo Kio Avenue 5,S109,26.0,78.7,2.8,0.0
2023-01-01T00:00:00,Clementi Road,S50,25.9,80.0,3.2,0.0
2023-01-01T00:00:00,East Coast Parkway,S107,27.1,78.8,6.3,0.0
2023-01-01T00:00:00,Kim Chuan Road,S43,26.7,78.3,6.4,0.0
2023-01-01T00:00:00,Marina Gardens Drive,S108,27.0,89.6,7.6,0.0
2023-01-01T00:00:00,Nanyang Avenue,S44,25.6,81.2,4.3,0.0
2023-01-01T00:00:00,Old Choa Chu Kang Road,S121,26.2,81.0,7.5,0.0
2023-01-01T00:00:00,Pulau Ubin,S106,25.7,83.6,2.1,0.0
2023-01-01T00:00:00,Scotts Road,S111,25.8,81.0,3.6,0.0
2023-01-01T00:00:00,Semakau Landfill,S102,26.8,82.5,11.1,0.0
2023-01-01T00:00:00,Sentosa,S60,26.6,77.0,3.2,0.0
2023-01-01T00:00:00,Tuas South Avenue 3,S115,26.4,77.9,3.6,0.0
2023-01-01T00:00:00,Upper Changi Road North,S24,26.1,80.9,4.4,0.0
2023-01-01T00:00:00,West Coast Highway,S116,26.6,87.8,9.2,0.0
2023-01-01T00:00:00,Woodlands Avenue 9,S104,26.0,77.8,5.9,0.0
2023-01-01T00:00:00,Woodlands Road,S100,26.6,76.1,2.6,0.0
2023-01-01T00:00:00,Banyan Road,S117,,,3.5,
2023-01-01T01:00:00,Ang Mo Kio Avenue 5,S109,25.7,80.3,4.3,0.0
2023-01-01T01:00:00,Clementi Road,S50,25.6,82.3,3.1,0.0
2023-01-01T01:00:00,East Coast Parkway,S107,26.8,80.6,7.3,0.0
2023-01-01T01:00:00,Kim Chuan Road,S43,26.4,80.1,10.1,0.0
2023-01-01T01:00:00,Marina Gardens Drive,S108,26.7,92.1,7.7,
2023-01-01T01:00:00,Nanyang Avenue,S44,25.2,82.2,5.4,0.0
2023-01-01T01:00:00,Old Choa Chu Kang Road,S121,25.7,84.9,6.0,0.0
2023-01-01T01:00:00,Pulau Ubin,S106,25.4,85.8,2.5,0.0
2023-01-01T01:00:00,Scotts Road,S111,25.6,81.9,3.9,0.0
2023-01-01T01:00:00,Semakau Landfill,S102,26.7,81.9,14.8,0.0
2023-01-01T01:00:00,Sentosa,S60,26.4,77.7,2.6,0.0
2023-01-01T01:00:00,Tuas South Avenue 3,S115,26.1,78.7,3.5,0.0
2023-01-01T01:00:00,Upper Changi Road North,S24,25.9,82.1,5.7,0.0
2023-01-01T01:00:00,West Coast Highway,S116,26.4,90.3,10.1,0.0
2023-01-01T01:00:00,Woodlands Avenue 9,S104,25.7,80.3,7.9,0.0
2023-01-01T01:00:00,Woodlands Road,S100,26.3,77.7,3.1,0.0
2023-01-01T01:00:00,Banyan Road,S117,,,2.3,
2023-01-01T02:00:00,Ang Mo Kio Avenue 5,S109,25.5,81.2,1.8,0.0
2023-01-01T02:00:00,Clementi Road,S50,25.4,83.4,2.2,0.0
2023-01-01T02:00:00,East Coast Parkway,S107,26.7,80.5,4.5,0.0
2023-01-01T02:00:00,Kim Chuan Road,S43,26.2,80.8,4.1,0.0
2023-01-01T02:00:00,Nanyang Avenue,S44,25.0,83.4,2.7,0.0
2023-01-01T02:00:00,Old Choa Chu Kang Road,S121,25.6,83.8,5.7,0.0
2023-01-01T02:00:00,Pulau Ubin,S106,25.4,85.6,2.6,0.0
2023-01-01T02:00:00,Scotts Road,S111,25.3,83.3,2.6,0.0
2023-01-01T02:00:00,Semakau Landfill,S102,26.7,83.0,7.3,0.0
2023-01-01T02:00:00,Sentosa,S60,26.3,78.2,1.8,0.0
2023-01-01T02:00:00,Tuas South Avenue 3,S115,26.1,80.8,2.7,0.0
2023-01-01T02:00:00,Upper Changi Road North,S24,25.7,82.9,3.9,0.0
2023-01-01T02:00:00,West Coast Highway,S116,26.3,91.2,8.0,0.0
2023-01-01T02:00:00,Woodlands Avenue 9,S104,25.5,81.2,5.8,0.0
2023-01-01T02:00:00,Woodlands Road,S100,26.2,79.2,1.1,0.0
2023-01-01T02:00:00,Banyan Road,S117,,,2.6,
2023-01-01T03:00:00,Ang Mo Kio Avenue 5,S109,25.3,81.4,2.8,0.0
2023-01-01T03:00:00,Clementi Road,S50,25.6,82.1,2.4,0.0
2023-01-01T03:00:00,East Coast Parkway,S107,26.6,81.4,4.0,0.0
2023-01-01T03:00:00,Kim Chuan Road,S43,26.1,81.3,4.9,0.0
2023-01-01T03:00:00,Nanyang Avenue,S44,24.8,84.5,2.0,0.0
2023-01-01T03:00:00,Old Choa Chu Kang Road,S121,25.4,85.3,5.7,0.0
2023-01-01T03:00:00,Pulau Ubin,S106,25.0,87.4,1.7,0.0
2023-01-01T03:00:00,Scotts Road,S111,25.2,82.6,2.4,0.0
2023-01-01T03:00:00,Semakau Landfill,S102,26.5,83.9,7.6,0.0
2023-01-01T03:00:00,Sentosa,S60,26.0,78.4,1.3,0.0
2023-01-01T03:00:00,Tuas South Avenue 3,S115,25.9,80.6,2.8,0.0
2023-01-01T03:00:00,Upper Changi Road North,S24,25.5,84.9,3.8,0.0
2023-01-01T03:00:00,West Coast Highway,S116,26.3,91.2,8.89999,0.0
2023-01-01T03:00:00,Woodlands Avenue 9,S104,25.4,79.8,3.0,0.0
2023-01-01T03:00:00,Woodlands Road,S100,25.9,80.1,1.6,0.0
2023-01-01T03:00:00,Banyan Road,S117,,,4.2,
2023-01-01T04:00:00,Ang Mo Kio Avenue 5,S109,25.3,80.8,2.4,0.0
2023-01-01T04:00:00,Clementi Road,S50,24.9,86.1,2.5,0.0
2023-01-01T04:00:00,East Coast Parkway,S107,26.4,81.7,5.5,0.0
2023-01-01T04:00:00,Kim Chuan Road,S43,26.0,80.5,3.4,0.0
2023-01-01T04:00:00,Nanyang Avenue,S44,24.7,85.2,4.2,0.0
2023-01-01T04:00:00,Old Choa Chu Kang Road,S121,25.0,89.5,7.1,0.0
2023-01-01T04:00:00,Pulau Ubin,S106,24.5,90.0,1.5,0.0
2023-01-01T04:00:00,Scotts Road,S111,25.2,80.6,4.1,0.0
2023-01-01T04:00:00,Semakau Landfill,S102,26.2,83.4,9.60001,0.0
2023-01-01T04:00:00,Sentosa,S60,26.0,76.0,2.6,0.0
2023-01-01T04:00:00,Tuas South Avenue 3,S115,25.7,82.2,3.7,0.0
2023-01-01T04:00:00,Upper Changi Road North,S24,25.4,85.2,5.2,0.0
2023-01-01T04:00:00,West Coast Highway,S116,26.0,91.6,8.5,0.0
2023-01-01T04:00:00,Woodlands Avenue 9,S104,25.3,81.4,5.0,0.0
2023-01-01T04:00:00,Woodlands Road,S100,25.5,81.4,2.0,0.0
2023-01-01T04:00:00,Banyan Road,S117,,,2.6,
2023-01-01T05:00:00,Ang Mo Kio Avenue 5,S109,25.1,82.3,2.1,0.0
2023-01-01T05:00:00,Clementi Road,S50,25.0,85.9,4.7,0.0
2023-01-01T05:00:00,East Coast Parkway,S107,26.4,81.7,6.4,0.0
2023-01-01T05:00:00,Kim Chuan Road,S43,25.5,83.0,5.7,0.0
2023-01-01T05:00:00,Nanyang Avenue,S44,24.9,84.0,4.9,0.0
2023-01-01T05:00:00,Old Choa Chu Kang Road,S121,25.4,85.1,8.3,0.0
2023-01-01T05:00:00,Pulau Ubin,S106,25.1,86.0,3.9,0.0
2023-01-01T05:00:00,Scotts Road,S111,25.2,82.1,3.2,0.0
2023-01-01T05:00:00,Semakau Landfill,S102,26.3,84.0,11.7,0.0
2023-01-01T05:00:00,Sentosa,S60,26.0,77.1,2.7,0.0
2023-01-01T05:00:00,Tuas South Avenue 3,S115,26.3,78.8,3.8,0.0
2023-01-01T05:00:00,Upper Changi Road North,S24,25.8,83.0,7.6,0.0
2023-01-01T05:00:00,West Coast Highway,S116,25.7,93.8,10.4,0.0
2023-01-01T05:00:00,Woodlands Avenue 9,S104,25.3,82.6,6.3,0.0
2023-01-01T05:00:00,Woodlands Road,S100,25.6,81.1,3.4,0.0
2023-01-01T05:00:00,Banyan Road,S117,,,5.9,
2023-01-01T06:00:00,Ang Mo Kio Avenue 5,S109,25.1,82.4,5.0,0.0
2023-01-01T06:00:00,Clementi Road,S50,24.8,87.5,3.3,0.0
2023-01-01T06:00:00,East Coast Parkway,S107,26.3,82.8,5.8,0.0
2023-01-01T06:00:00,Kim Chuan Road,S43,25.5,83.8,8.0,0.0
2023-01-01T06:00:00,Nanyang Avenue,S44,24.8,84.5,4.6,0.0
2023-01-01T06:00:00,Old Choa Chu Kang Road,S121,25.6,84.4,8.8,0.0
2023-01-01T06:00:00,Pulau Ubin,S106,25.1,86.4,3.4,0.0
2023-01-01T06:00:00,Scotts Road,S111,25.2,83.2,3.9,0.0
2023-01-01T06:00:00,Semakau Landfill,S102,26.3,82.7,8.5,0.0
2023-01-01T06:00:00,Sentosa,S60,26.0,77.9,3.6,0.0
2023-01-01T06:00:00,Tuas South Avenue 3,S115,25.6,80.5,2.3,0.0
2023-01-01T06:00:00,Upper Changi Road North,S24,25.7,83.7,8.60001,0.0
2023-01-01T06:00:00,West Coast Highway,S116,25.6,95.3,7.8,0.0
2023-01-01T06:00:00,Woodlands Avenue 9,S104,25.1,83.5,4.7,0.0
2023-01-01T06:00:00,Woodlands Road,S100,25.4,83.0,4.0,0.0
2023-01-01T06:00:00,Banyan Road,S117,,,2.8,
2023-01-01T07:00:00,Ang Mo Kio Avenue 5,S109,25.0,83.9,2.4,0.0
2023-01-01T07:00:00,Clementi Road,S50,25.0,86.5,2.0,0.0
2023-01-01T07:00:00,East Coast Parkway,S107,26.3,81.8,3.6,0.0
2023-01-01T07:00:00,Kim Chuan Road,S43,25.9,82.1,5.1,0.0
2023-01-01T07:00:00,Nanyang Avenue,S44,24.7,85.5,1.4,0.0
2023-01-01T07:00:00,Old Choa Chu Kang Road,S121,25.4,85.3,6.5,0.0
2023-01-01T07:00:00,Pulau Ubin,S106,24.9,87.0,2.6,0.0
2023-01-01T07:00:00,Scotts Road,S111,24.9,85.7,3.9,0.0
2023-01-01T07:00:00,Semakau Landfill,S102,26.3,83.3,6.6,0.0
2023-01-01T07:00:00,Sentosa,S60,26.0,79.6,2.6,0.0
2023-01-01T07:00:00,Tuas South Avenue 3,S115,25.9,79.7,3.3,0.0
2023-01-01T07:00:00,Upper Changi Road North,S24,25.4,84.3,3.8,0.0
2023-01-01T07:00:00,West Coast Highway,S116,25.7,95.4,11.3,0.0
2023-01-01T07:00:00,Woodlands Avenue 9,S104,24.9,84.9,3.9,0.0
2023-01-01T07:00:00,Woodlands Road,S100,25.2,84.0,1.2,0.0
2023-01-01T07:00:00,Banyan Road,S117,,,3.3,
2023-01-01T08:00:00,Ang Mo Kio Avenue 5,S109,25.4,81.9,1.6,
2023-01-01T08:00:00,Clementi Road,S50,25.3,85.5,0.7,
2023-01-01T08:00:00,East Coast Parkway,S107,26.5,80.9,2.9,
2023-01-01T08:00:00,Kim Chuan Road,S43,26.0,82.0,3.6,
2023-01-01T08:00:00,Nanyang Avenue,S44,25.0,84.2,1.1,
2023-01-01T08:00:00,Old Choa Chu Kang Road,S121,25.5,85.8,6.4,
2023-01-01T08:00:00,Pulau Ubin,S106,25.1,88.0,0.6,
2023-01-01T08:00:00,Scotts Road,S111,25.1,84.4,3.4,
2023-01-01T08:00:00,Semakau Landfill,S102,26.2,83.2,4.8,
2023-01-01T08:00:00,Sentosa,S60,25.9,80.5,1.2,
2023-01-01T08:00:00,Tuas South Avenue 3,S115,26.1,79.3,3.3,
2023-01-01T08:00:00,Upper Changi Road North,S24,25.6,83.9,3.6,
2023-01-01T08:00:00,West Coast Highway,S116,25.9,93.8,4.4,
2023-01-01T08:00:00,Woodlands Avenue 9,S104,25.5,80.3,1.8,
2023-01-01T08:00:00,Woodlands Road,S100,25.7,82.3,1.0,
2023-01-01T08:00:00,Banyan Road,S117,,,2.9,
2023-01-01T09:00:00,Ang Mo Kio Avenue 5,S109,25.4,81.9,1.6,
2023-01-01T09:00:00,Clementi Road,S50,25.3,85.5,0.7,
2023-01-01T09:00:00,East Coast Parkway,S107,26.5,80.9,2.9,
2023-01-01T09:00:00,Kim Chuan Road,S43,26.0,82.0,3.6,
2023-01-01T09:00:00,Nanyang Avenue,S44,25.0,84.2,1.1,
2023-01-01T09:00:00,Old Choa Chu Kang Road,S121,25.5,85.8,6.4,
2023-01-01T09:00:00,Pulau Ubin,S106,25.1,88.0,0.6,
2023-01-01T09:00:00,Scotts Road,S111,25.1,84.4,3.4,
2023-01-01T09:00:00,Semakau Landfill,S102,26.2,83.2,4.8,
2023-01-01T09:00:00,Sentosa,S60,25.9,80.5,1.2,
2023-01-01T09:00:00,Tuas South Avenue 3,S115,26.1,79.3,3.3,
2023-01-01T09:00:00,Upper Changi Road North,S24,25.6,83.9,3.6,
2023-01-01T09:00:00,West Coast Highway,S116,25.9,93.8,4.4,
2023-01-01T09:00:00,Woodlands Avenue 9,S104,25.5,80.3,1.8,
2023-01-01T09:00:00,Woodlands Road,S100,25.7,82.3,1.0,
2023-01-01T09:00:00,Banyan Road,S117,,,2.9,
2023-01-01T10:00:00,Ang Mo Kio Avenue 5,S109,25.4,81.9,1.6,
2023-01-01T10:00:00,Clementi Road,S50,25.3,85.5,0.7,
2023-01-01T10:00:00,East Coast Parkway,S107,26.5,80.9,2.9,
2023-01-01T10:00:00,Kim Chuan Road,S43,26.0,82.0,3.6,
2023-01-01T10:00:00,Nanyang Avenue,S44,25.0,84.2,1.1,
2023-01-01T10:00:00,Old Choa Chu Kang Road,S121,25.5,85.8,6.4,
2023-01-01T10:00:00,Pulau Ubin,S106,25.1,88.0,0.6,
2023-01-01T10:00:00,Scotts Road,S111,25.1,84.4,3.4,
2023-01-01T10:00:00,Semakau Landfill,S102,26.2,83.2,4.8,
2023-01-01T10:00:00,Sentosa,S60,25.9,80.5,1.2,
2023-01-01T10:00:00,Tuas South Avenue 3,S115,26.1,79.3,3.3,
2023-01-01T10:00:00,Upper Changi Road North,S24,25.6,83.9,3.6,
2023-01-01T10:00:00,West Coast Highway,S116,25.9,93.8,4.4,
2023-01-01T10:00:00,Woodlands Avenue 9,S104,25.5,80.3,1.8,
2023-01-01T10:00:00,Woodlands Road,S100,25.7,82.3,1.0,
2023-01-01T10:00:00,Banyan Road,S117,,,2.9,
2023-01-01T11:00:00,Ang Mo Kio Avenue 5,S109,25.4,81.9,1.6,
2023-01-01T11:00:00,Clementi Road,S50,25.3,85.5,0.7,
2023-01-01T11:00:00,East Coast Parkway,S107,26.5,80.9,2.9,
2023-01-01T11:00:00,Kim Chuan Road,S43,26.0,82.0,3.6,
2023-01-01T11:00:00,Nanyang Avenue,S44,25.0,84.2,1.1,
2023-01-01T11:00:00,Old Choa Chu Kang Road,S121,25.5,85.8,6.4,
2023-01-01T11:00:00,Pulau Ubin,S106,25.1,88.0,0.6,
2023-01-01T11:00:00,Scotts Road,S111,25.1,84.4,3.4,
2023-01-01T11:00:00,Semakau Landfill,S102,26.2,83.2,4.8,
2023-01-01T11:00:00,Sentosa,S60,25.9,80.5,1.2,
2023-01-01T11:00:00,Tuas South Avenue 3,S115,26.1,79.3,3.3,
2023-01-01T11:00:00,Upper Changi Road North,S24,25.6,83.9,3.6,
